"SC";"PERSONAS";"MUNI";"EDAD_MEDIA";"ArtSurfA";"Service.area.popacc";"POPDEN.I.SD";"ARTSURF.I.SD";"ROADDEN.I.SD";"SERAREA.I.SD";"UI.N";"DI.N";"SMRe"
"0401305005";1574;4013;37.9;84.68760911;0.111503579;0.764555210174458;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.0147534075886975;2.04460580225139;0.992990696913398
"0401305006";1167;4013;41.4;100;0.051238427;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.0558587469842389;1.05714220402045
"0401305007";1199;4013;42.7;100;0.039937197;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.963334645110063;0.922424934743126
"0401305008";1133;4013;41.5;100;0.034840504;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;1.65397417303767;0.954937948387442
"0401305009";991;4013;42.2;100;0.029151897;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.67474244638852;0.880278441707959
"0401305010";977;4013;41.9;100;0.036139548;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.208329560986908;0.832184131665229
"0401305011";1937;4013;30.8;5.089749422;0.156513942;-0.235444789825542;-1.23544478982554;-0.235444789825542;-0.235444789825542;-0.748380624725767;1.90113543164232;1.51900339822701
"0401306001";896;4013;42.1;100;0.058724112;0.764555210174458;0.764555210174458;1.76455521017446;0.764555210174458;0.772993850156844;-0.41701546589948;1.17797303487173
"0401306002";1034;4013;37.5;100;0.045621562;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;1.62668383779376;0.980752968407689
"0401306003";671;4013;42;100;0.038426971;0.764555210174458;0.764555210174458;1.76455521017446;0.764555210174458;0.772993850156844;0.930986721261947;0.958693009660407
"0401306004";1410;4013;33.9;100;0.071110586;1.76455521017446;0.764555210174458;0.764555210174458;0.764555210174458;0.794040532615694;0.781447244327837;0.791682019575441
"0401306005";2458;4013;35.2;90.17665323;0.219831181;0.764555210174458;0.764555210174458;-0.235444789825542;0.764555210174458;0.231793444072121;0.54799308300152;0.903920153379922
"0401306006";1395;4013;36.1;99.99999958;0;-0.235444789825542;0.764555210174458;-0.235444789825542;-1.23544478982554;-0.450720401379169;1.17154214985295;1.19558404433855
"0401306007";2357;4013;34.9;100;0.057120679;0.764555210174458;0.764555210174458;-0.235444789825542;-0.235444789825542;0.0363599640970819;0.283780525674121;0.83865236309248
"0401306008";2282;4013;33.6;99.99999978;0.344551049;-0.235444789825542;0.764555210174458;-0.235444789825542;0.764555210174458;-0.0598534414290912;0.0262770144543408;0.962927783924129
"0401306009";1192;4013;38.1;100;0.035974149;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.250854591699811;0.816844065801632
"0401306010";830;4013;40.2;100;0.04166164;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.222738527704192;0.988060701648777
"0401306011";1001;4013;36.7;100;0.060711964;0.764555210174458;0.764555210174458;1.76455521017446;0.764555210174458;0.772993850156844;0.00330111193809814;0.821765748847836
"0401306012";1305;4013;35.6;100;0.024457066;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.823270405601789;0.698395833660704
"0401306013";1894;4013;39.9;100;0.050607974;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.685703995567429;1.00896462317385
"0401306014";1318;4013;40.3;100;0.03242498;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;1.04045771051948;1.17760110167725
"0401306015";894;4013;40.3;99.66421864;0.045940181;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;-0.494138531308899;0.923710197407147
"0401306016";2043;4013;33.5;40.49348183;0.14483433;0.764555210174458;-0.235444789825542;0.764555210174458;0.764555210174458;0.255846795453664;0.795009839074623;1.02987994666447
"0401306017";1716;4013;35.4;95.82445634;0.068021609;1.76455521017446;0.764555210174458;0.764555210174458;0.764555210174458;0.794040532615694;0.193961880707209;1.18363751787815
"0401306018";1073;4013;37.7;98.11443428;0.156635741;-0.235444789825542;0.764555210174458;0.764555210174458;0.764555210174458;0.21074676161327;-0.112858280208263;1.10822536336345
"0401306019";966;4013;36.1;11.9201552;0.182276018;-0.235444789825542;-1.23544478982554;-0.235444789825542;-0.235444789825542;-0.748380624725767;0.504188172723471;1.27532840669586
"0401306020";1103;4013;35.4;25.81032689;0.18056628;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.501833773064949;0.755601934399413;1.24638633992313
"0401306021";1669;4013;25.5;23.14831408;0.20035769;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.501833773064949;-0.160482185962955;1.91088816355878
"0401306022";605;4013;33.9;77.33403351;0.034973459;-1.23544478982554;-0.235444789825542;-1.23544478982554;-0.235444789825542;-1.06408086160852;0.459268528630619;1.25271914619603
"0401306023";1649;4013;25.9;71.97958262;0;0.764555210174458;-0.235444789825542;0.764555210174458;-1.23544478982554;-0.135020164496414;4.03985547143823;1.80197181393683
"0401306024";1416;4013;28.6;43.23454697;0;0.764555210174458;-0.235444789825542;0.764555210174458;-1.23544478982554;-0.135020164496414;2.85462506445701;1.44668140855511
"0401306025";1589;4013;37.8;100;0.036237484;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.0548265860446052;1.1163161953184
"0401306026";2357;4013;33.7;100.0000002;0.271359501;0.764555210174458;1.76455521017446;-0.235444789825542;0.764555210174458;0.478340295732939;0.565808180819595;0.819114788363427
"0401306027";754;4013;40.5;100;0.029914786;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.219992979604767;1.0743763464412
"0401306028";1135;4013;41.2;100;0.032006242;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;-0.215186715763534;0.949009108695894
"0401306029";1556;4013;38.2;100;0.06020259;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.382393181846712;1.04495323548934
"0401306030";1794;4013;34.1;37.8338668;0.160027978;0.764555210174458;-0.235444789825542;0.764555210174458;0.764555210174458;0.255846795453664;0.219105321196682;0.930376369543648
"0401306031";1263;4013;24.6;80.59401351;0;0.764555210174458;-0.235444789825542;0.764555210174458;-1.23544478982554;-0.135020164496414;3.63687919738649;2.31880067566631
"0401306032";965;4013;32.4;100.0000007;0;0.764555210174458;1.76455521017446;0.764555210174458;-1.23544478982554;0.358073538825223;0.771559142526148;1.10105452982219
"0401306033";1479;4013;33.6;5.286072603;0.189781639;-0.235444789825542;-1.23544478982554;-0.235444789825542;-0.235444789825542;-0.748380624725767;-0.0269205603743728;0.873069940381849
"0401306034";2309;4013;30.6;100.0000004;0.635156384;-0.235444789825542;1.76455521017446;-0.235444789825542;0.764555210174458;0.186693410231727;0.266295719356729;0.953913778595934
"0401306035";1923;4013;31.1;100.0000007;0.105971357;-0.235444789825542;1.76455521017446;-0.235444789825542;-0.235444789825542;-0.00874006974331183;0.473966500411001;1.35911000416864
"0401307001";1363;4013;40.9;100;0.042570033;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;-0.0460774674139714;0.809139206221867
"0401307002";1181;4013;40.7;100;0.021012152;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.326573918231328;0.875974731972358
"0401307003";1519;4013;39.6;100;0.027357528;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.957781619254835;0.946836815299351
"0401307004";1020;4013;44;100;0.024425644;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.165804530274005;0.979413255647805
"0401307005";978;4013;42.3;100;0.038769267;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.757212105465242;0.835935293035757
"0401307006";815;4013;40.5;100;0.031882709;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.259359597842391;0.835377009641504
"0401307007";1743;4013;40;100;0.061862234;1.76455521017446;0.764555210174458;0.764555210174458;0.764555210174458;0.794040532615694;0.759069995156582;0.838968749420116
"0401307008";1943;4013;35.4;100;0.178336491;0.764555210174458;0.764555210174458;-0.235444789825542;0.764555210174458;0.231793444072121;0.757810758810229;1.00243270731172
"0401307010";1940;4013;37.2;100;0.088733181;1.76455521017446;0.764555210174458;0.764555210174458;0.764555210174458;0.794040532615694;0.756737311433011;0.85454668968354
"0401307011";1656;4013;36;100;0.060740241;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;1.12734501841784;1.0049890149933
"0401307012";1862;4013;34.3;100;0.158509346;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.224162909800887;0.80120453327303
"0401307013";1573;4013;39.7;100;0.12879881;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.205955590825751;0.84917585250301
"0401307014";1756;4013;35.2;99.99999895;0.160561573;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.67110923988101;0.913432613321809
"0401307015";2090;4013;36;100;0.064138296;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.80735448391264;1.11335871444595
"0401307016";2035;4013;37.4;100;0.124966387;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.384065282568918;1.02642349448141
"0401307017";1727;4013;38.2;99.99999872;0.080227136;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.844347131989107;0.910561558199839
"0401307018";1053;4013;37.1;76.47490724;0.643601363;-0.235444789825542;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.30640029308991;1.28588493874555;1.5069117341028
"0401307019";790;4013;38.9;100;0.026104146;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;1.0119700685856;1.1718144921562
"0401307020";2479;4013;35.1;22.83914878;0.94650746;-0.235444789825542;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.30640029308991;0.238964097675232;0.716644058021536
"0401307021";1887;4013;36;0.000853449;2.152639695;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;0.294783361290615;0.89452288635617
"0401307022";1916;4013;33.8;40.38075622;1.907407994;-1.23544478982554;-0.235444789825542;-1.23544478982554;-0.235444789825542;-1.06408086160852;-0.220388806899287;0.938402501826253
"0401307023";1207;4013;35;0.000853449;0.000992332;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-0.0957244086103453;0.977042810835452
"0401307024";1220;4013;32.4;7.440337755;2.297128274;-1.23544478982554;-1.23544478982554;-0.235444789825542;-0.235444789825542;-1.04002751022698;0.47658818919767;0.981998433537597
"0401307025";2113;4013;36.7;100;0.059043618;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.665659430119745;0.796009431636659
"0401307026";944;4013;42.2;100;0.024936966;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.338196050411602;0.844143951997804
"0401307027";900;4013;41.9;100;0.031191103;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.349467247872401;0.964365492430803
"0401307028";1752;4013;42;100;0.035586523;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.594460968503822;0.901297330986878
"0401307029";1292;4013;39.1;100;0.015774883;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.622783464687367;0.760675720657649
"0401307030";1622;4013;31.4;100.0000024;0.143855497;0.764555210174458;1.76455521017446;0.764555210174458;0.764555210174458;0.748940498775301;0.689832639325963;1.39935947691874
"0401307031";1142;4013;34.6;99.99999995;0.072650515;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.697553203154422;0.853561620314403
"0401307032";1768;4013;36;100;0.112096455;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.471860892094148;0.955900038511339
"0401307033";1712;4013;34.4;100;0.047001506;1.76455521017446;0.764555210174458;0.764555210174458;0.764555210174458;0.794040532615694;0.890649871741068;0.767192715176645
"0401307034";1928;4013;33.4;100;0.050222995;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.0728274728318143;0.770655421812363
"0401307035";1731;4013;37;100;0.070578463;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.986000899344416;0.943753380747541
"0401307036";1622;4013;33.8;29.94153031;0.643814065;-0.235444789825542;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.30640029308991;0.356651088012251;0.969075909606675
"0401307037";1835;4013;31.6;61.79677705;0.845665005;-0.235444789825542;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.30640029308991;0.576790373217296;0.775789927982751
"0401307038";1161;4013;33.3;91.72288487;0;-0.235444789825542;0.764555210174458;-0.235444789825542;-1.23544478982554;-0.450720401379169;0.591281912809751;0.721049204818713
"0401307039";1754;4013;32;99.99999764;0.097720185;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.0492529169705841;0.921444955052706
"0401307040";1399;4013;35.8;7.052583538;0.137921331;-0.235444789825542;-1.23544478982554;-0.235444789825542;-0.235444789825542;-0.748380624725767;0.205109218855251;1.00829064849837
"0401307041";1611;4013;31.3;0.000853449;1.859178243;-1.23544478982554;-1.23544478982554;-1.23544478982554;0.764555210174458;-1.1151942332943;0.218960818665134;1.12330029773357
"0401307042";1367;4013;35.2;100;0.021560431;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.938996290153505;0.887295729263226
"0401308001";1163;4013;34.8;0.71568611;0.031817006;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;0.111822513131171;0.985793515337779
"0401308002";1298;4013;34.9;18.85536548;0.212825569;-1.23544478982554;-0.235444789825542;-1.23544478982554;-0.235444789825542;-1.06408086160852;0.00024591555678259;0.954008598108733
"0401308003";1288;4013;38.4;0.482995713;0.418041191;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.579560170672972;1.14484401362829
