Census Tract;Bus stops;Health center;Hospitals;Universities;Bus stations;Faculty;Supermarkets;Open Markets;% of artificial surface;Road density;Total.Area
1810502001;0;1;0;0;0;0;0;0;0;0;863859,8389
4108101002;2;0;0;0;0;0;0;0;60,79579155;50,34312464;214516,8721
2906708009;0;0;0;0;0;0;0;0;100,0000029;20,01255985;313816,128
1804701003;0;0;0;0;0;0;0;0;99,71210446;21,90057071;83607,73362
4109106038;0;0;0;0;0;1;0;0;100;37,58412773;42279,56938
1803902001;4;0;0;0;0;0;0;0;0,218161019;320,9161476;215730459,7
2990101013;0;0;0;0;0;0;0;0;100;41,87946621;41409,08809
2990101001;7;0;1;0;0;0;0;0;49,55658247;39,56431855;1095800,454
1405403002;0;0;0;0;0;0;0;0;100;22,25790363;135346,0477
490201006;0;0;0;0;0;0;0;0;100;41,51744704;98920,98409
2906707088;0;0;0;0;0;0;0;0;100;23,27504282;51365,64416
4106003005;0;0;0;0;0;0;0;0;82,69497949;43,80831941;193881,7699
2908402006;0;0;0;0;0;0;1;0;1,947283588;195,7530894;27934348,1
2906707043;0;0;0;0;0;0;0;0;100;36,08186192;50648,82142
1815002001;14;0;0;0;0;0;0;0;7,183424763;45,1406214;10617531,42
4107701003;0;0;0;0;0;0;0;0;58,20771251;37,44402675;102644,2535
1804301001;5;1;0;0;0;0;0;0;0;0;4658549,52
1102701031;0;0;0;0;0;0;0;0;100;81,61771938;20698,17938
1815803004;5;4;0;0;0;0;0;0;1,250988984;123,587852;33693932,6
403101001;0;0;0;0;0;0;0;0;0,804289965;225,5872987;5999251,012
490301003;0;0;0;0;0;0;0;0;0,711399251;429,8184617;8069628,879
1808701003;0;0;0;0;0;0;0;0;100;29,45289974;12319,24058
2305506005;0;0;0;0;0;0;0;0;40,25866257;62,17105362;52960,74201
4109104078;0;0;0;0;0;0;0;0;99,99999991;28,0692609;84884,31755
2302501002;1;0;0;0;0;0;0;0;68,57780639;41,34033299;265998,2477
1100603003;3;0;0;0;0;0;0;0;1,043673557;103,4852205;56370840,15
4107802001;1;0;0;0;0;0;0;0;46,16711078;30,24986204;391237,5263
1100401005;0;0;0;0;0;0;0;0;100;23,36650186;30271,79441
1101210006;0;0;0;0;0;0;0;0;99,99999061;22,10626994;81878,75513
4109103077;0;0;0;0;0;0;0;0;100,0000011;48,07093965;36555,9849
2306102001;0;1;0;0;0;0;0;0;1,732075392;53,31857778;26494244,81
2906801004;4;0;0;0;0;0;2;0;60,69424628;27,17134486;1029078,441
4104701004;0;0;0;0;0;0;0;0;43,97261308;43,20957402;756590,933
4109104065;1;0;0;0;0;0;0;0;100;46,38760399;55806,16898
4109102049;0;1;0;0;0;0;0;0;30,00146108;40,66012082;5115609,125
