Census Tract;Service area overall;Service area (pop-accounted);Total area;Portion overall;Portion pop-accounted
0490201003;1,19283296;0,799976505;1,19283296;100;67,06525824
0490201004;0,082916337;0,082916337;0,082916337;100;100
0490201005;0,089726729;0,089726729;0,089726729;100;100
0490201006;0,098920984;0,098920984;0,098920984;100;100
0490201007;0,157709954;0,157709954;0,157709954;100;100
0490201008;5,544530711;2,318174577;14,4424441;38,39052915;16,05112376
0490201009;10,69335388;1,634544652;16,47678426;64,89951989;9,920289214
0490201010;11,67500145;3,911105038;11,67500145;100;33,49982485
0490201011;6,391927913;1,712197748;6,391927913;100;26,78687512
0490201012;2,177217162;0,76788039;16,17720211;13,45855203;4,746682303
0490201013;8,410469623;0,222265676;54,08273515;15,55111738;0,410973437
0490201014;10,91592113;1,252551692;11,82671827;92,29881764;10,59086437
0490201015;0,843634888;0,566097496;0,843634888;100;67,10219118
0490201016;8,238709495;1,122492587;8,238709495;100;13,62461667
0490201017;0,069147603;0,069147603;0,069147603;100;100
0490201018;28,40512166;4,944024048;28,72945076;98,87109192;17,20890556
0490201019;4,156147858;0,403885486;4,156971039;99,98019759;9,715859981
0490201020;4,802726567;1,660051042;4,899648243;98,0218646;33,88102491
0490201021;0,65338113;0,388438624;0,65338113;100;59,45054208
0490201022;0,100449611;0,100449611;0,100449611;100;100
0490201023;0,073780171;0,073780171;0,073780171;100;100
0490201024;0,173145659;0,173145659;0,173145659;100;100
0490201025;0,435021123;0,284204535;0,475017305;91,58005797;59,83035395
0490201026;0,136473487;0,136473487;0,136473487;100;100
0490201027;0,082449845;0,082449845;0,082449845;100;100
0490201028;0,944794192;0,402757739;0,944794192;100;42,62915067
0490201029;1,382741126;0,438679843;9,122524327;15,15743972;4,808754982
0490201030;0,065677383;0,065677383;0,065677383;100;100
0490201031;14,58224118;3,536639799;14,58224118;100;24,25306065
0490201032;3,020609955;1,826832848;4,372123217;69,08794206;41,78365425
0490201033;0,081160387;0,081160387;0,081160387;100;100
0490201034;0,065028616;0,065028616;0,065028616;100;100
0490301001;8,62386354;2,737237929;10,48861125;82,2212144;26,09723885
0490301002;0,259708917;0,240371687;2,875188898;9,032760134;8,360205024
0490301003;8,034767997;2,75578952;8,069628879;99,56799895;34,15013951
0490301004;0,42556367;0,211042839;2,41542565;17,61857874;8,73729393
1100201001;0,057848685;0,057848684;0,137456027;42,08522967;42,08522906
1100201002;0,013701897;0,013701898;0,145157058;9,439359797;9,439360424
1100201003;4,369579333;0,307226257;46,54865267;9,387123111;0,660011063
1100201004;0,065271285;0,065271285;0,068762136;94,9232936;94,9232945
1100301001;0,178363368;0;27,1325688;0,657377372;0
1100401001;0,047435058;0,047435058;0,047435058;100;100
1100401002;0,065672934;0,043720319;0,0656888;99,97584659;66,55673205
1100401003;0,066708335;0,066708335;0,066708335;100;100
1100401004;0,02386482;0,017796116;0,096420857;24,75068197;18,45670802
1100401005;0,030271794;0,030271794;0,030271794;100;100
1100401006;0,068930561;0,04190046;0,080017002;86,14489323;52,36444575
1100401007;0,163626678;0,159608777;1,105511397;14,80099425;14,43755146
1100401008;0,031075975;0,031075975;0,031075975;100;100
1100401009;0,096780249;0,096780247;0,097605166;99,15484292;99,1548405
1100401010;0,023650564;0,023650564;0,02634839;89,7609483;89,76094646
1100401011;0,021541566;0,021541566;0,045512867;47,33071585;47,33071605
1100401012;0,068223476;0,063263283;0,263456149;25,89557177;24,01283237
1100401013;0,04919159;0,04919159;0,04919159;100;100
1100401014;0,03482267;0,00328336;0,125984587;27,64042101;2,606159837
1100401015;0,059312287;0,059312287;0,059312287;100;100
1100401016;0,004567256;0,004567259;0,098207629;4,650612689;4,650615009
1100401017;0,092276493;0,092276491;0,114874105;80,32836754;80,32836586
1100401018;0,03000792;0,021454465;0,044501511;67,43123956;48,21064457
1100401019;0,483303264;0,483303267;1,704515344;28,35429235;28,35429256
1100401020;0,033289413;0,033289413;0,033289413;100;100
1100401021;0,039237303;0,0392373;0,280918556;13,96750148;13,96750008
1100401022;0,078503923;0,066982336;0,222886376;35,22149925;30,05223444
1100401023;0,084765447;0,076413169;0,253576539;33,4279534;30,13416361
1100401024;0,000296339;0,000296339;0,093104421;0,318286289;0,318286325
1100402001;0,059444311;0,037883967;0,522493324;11,3770469;7,250612692
1100402002;0,284815856;0,180455361;0,795567197;35,80035191;22,6826045
1100402003;0,126298365;0,126298365;0,127468736;99,08183668;99,08183645
1100402004;0,271466087;0,213637311;0,272354179;99,67392021;78,44098867
1100402005;0,02924304;0,02924304;0,052470922;55,73189764;55,73189742
1100402006;0,236443608;0,236443607;0,551462264;42,87575466;42,87575464
1100402007;0,091460411;0,091460411;0,091460411;100;100
1100402008;0,069446606;0,069446606;0,069446606;100;100
1100402009;0,122120957;0,12212096;0,169415137;72,08385211;72,08385385
1100402010;0,001128383;0,001128383;0,55104542;0,204771321;0,204771249
1100402011;0,009730538;0,008885339;0,605024948;1,608287026;1,468590517
1100402012;0,195726312;0,195726313;0,457442532;42,7870822;42,78708242
1100402013;0,010195287;0,010195289;0,045042015;22,63506064;22,63506456
1100402014;0,014674254;0,014674256;0,115546854;12,69983039;12,69983212
1100402015;0,104613999;0,092788804;0,201762972;51,84994939;45,98901529
1100402016;0,259491823;0,259028702;0,973867159;26,64550499;26,59795017
1100403001;0,05138497;0,05138497;0,05138497;100;100
1100403002;0,062142314;0,062142314;0,062142314;100;100
1100403003;0,106589609;0,106589609;0,106589609;100;100
1100403004;0,265238384;0,265238378;0,291506315;90,98889793;90,98889609
1100403005;0,011275551;0,011275547;0,047284242;23,84631891;23,84631068
1100403006;0,000160733;0,000160732;0,065861886;0,244045145;0,244044282
1100403007;0,015425878;0,015425877;0,363714166;4,241208907;4,241208685
1100403009;0,021981588;0,021981589;0,054742344;40,15463439;40,15463585
1100403011;0,021691107;0,021691106;0,269851417;8,038166789;8,03816639
1100403012;0,033290436;0,033290438;0,269610138;12,34762027;12,34762093
1100403013;1,184311503;0,464143682;41,66229746;2,84264569;1,114061659
1100403015;0,026407882;0,026407882;0,026407882;100;100
1100403017;0,510043663;0,495242674;20,66839956;2,467746286;2,396134606
1100404001;0,087667539;0,087667539;0,087667539;100;100
1100404002;0,136650071;0,13665007;0,161834609;84,43810118;84,43810066
1100404003;0,089657698;0,089657698;0,089657698;100;100
1100404004;0,051537557;0,051537557;0,051537557;100;100
1100404005;0,045500171;0,045500171;0,045500171;100;100
1100404006;0,121292199;0,121292201;0,127392136;95,21168438;95,21168622
1100404007;0,028026782;0,028026779;0,035378121;79,22066067;79,22065391
1100404008;0,047310015;0,037126554;0,151818355;31,16224943;24,45458838
1100404009;0,028557321;0,028429128;0,104664973;27,28450651;27,16202685
1100404011;0,074236537;0,074236538;0,259723076;28,58295784;28,58295809
1100404012;0,065484513;0,065484514;0,080934907;80,91009794;80,91009975
1100404013;0,034944733;0,034944733;0,034944733;100;100
1100404015;0,005101804;0,004230033;5,084651061;0,100337355;0,083192205
1100404016;0,027547169;0,027547169;1,088931409;2,529743246;2,529743264
1100404017;0,063033113;0,06303312;2,31138925;2,727066128;2,727066431
1100502001;88,60173152;4,284170725;132,9466923;66,64455502;3,222472594
1100601003;0,000799306;0,000799305;0,218341233;0,366081252;0,366080632
1100601006;0,35256513;0,058276534;2,172275495;16,23022173;2,682741406
1100602001;0,053975854;0,030098465;0,162641475;33,18701703;18,50602048
1100602008;0,528543408;0,067641424;1,419314039;37,23935605;4,765782777
1100603001;39,83402646;1,270021423;136,1552228;29,25633379;0,932774665
1100603003;3,14450055;0,448659478;56,37084015;5,578239639;0,795907027
1100604001;98,92443573;1,703124918;98,97803685;99,94584544;1,720709939
1100604002;8,266741201;0,083809584;149,3534051;5,535020239;0,056114947
1100901001;1,513593579;0,16245983;69,41596473;2,180468981;0,234038137
1101001001;0,0777167;0,0777167;0,0777167;100;100
1101001002;25,37669668;0,839158877;25,37669668;100;3,306808949
1101002001;0,058310074;0,058310074;0,058310074;100;100
1101002002;3,127312386;0,431401983;3,127312386;100;13,79465591
1101002003;0,146632449;0,146632449;0,146632449;100;100
1101003001;25,55564486;0,627056288;25,55564486;100;2,453689943
1101101001;5,669588806;0,514629514;30,75841921;18,4326404;1,673133819
